id_transacao,id_cliente,valor,tipo,banco_origem,banco_destino,data,data_part,banco_origem_nome,banco_destino_nome,cpf_mascarado,cidade,estado
d1499b9f-d9fb-44ff-b49c-c44553f99686,45e2ee30-7b12-4ad5-b42f-4a2890069d78,2679.83,PIX,033,033,2025-06-11 23:50:41.670562,2025-06-11,Santander,Santander,***.547.***-09,Messias,MG
c4dbd570-169d-43b0-8266-417335d51d4a,a1639106-a9da-4531-bd6c-743ffcfe0e55,3009.61,Cartão,033,001,2025-06-11 22:53:58.856806,2025-06-11,Santander,Banco do Brasil,***.541.***-07,Araucária,RS
0e350bd4-688b-4f92-ab23-219344dd9df6,326bc55b-631f-475a-b8a7-12b58ba801bf,21.7,DOC,237,237,2025-06-11 22:18:14.961471,2025-06-11,Bradesco,Bradesco,***.302.***-34,Remanso,RR
207016e2-55ec-4f6b-8d89-bc212e7513fc,f6f48814-8a33-4948-b3b7-71a59f896190,7729.1,PIX,237,033,2025-06-11 23:04:12.980361,2025-06-11,Bradesco,Santander,***.283.***-28,São Valério do Sul,PA
ea0fcb16-b501-4eb2-91f3-da4301711d6d,5d668ad6-cf87-4d18-a821-592a5456eff5,3650.1,PIX,341,237,2025-06-11 22:46:50.000679,2025-06-11,Itaú Unibanco,Bradesco,***.345.***-06,Monjolos,RS
49d32a1b-ff4d-4d88-8cc6-f76bba87c87a,4a730da9-5630-4733-8aef-f2d3b8292a22,5035.57,TED,104,237,2025-06-11 22:32:47.432055,2025-06-11,Caixa Econômica Federal,Bradesco,***.601.***-35,Coqueiro Baixo,MS
c6fd8c6b-f4ae-4a42-ad26-7b2cd4a5341d,9ade5a14-9765-46f4-b5ea-22c9fd02035b,3555.05,Cartão,237,341,2025-06-11 22:38:53.316034,2025-06-11,Bradesco,Itaú Unibanco,***.489.***-92,Baliza,MG
1083917c-4759-41e4-b988-8ee38081665e,93b66b78-5008-4d8d-a789-4c6df405013d,2828.12,DOC,033,104,2025-06-11 23:19:12.295095,2025-06-11,Santander,Caixa Econômica Federal,***.402.***-13,São José da Coroa Grande,MA
0a1f226b-ad53-4b4b-82fd-28bd33f3dd89,517abb79-6b9b-4ac2-8fd0-e35e03c91b30,766.85,TED,001,237,2025-06-11 23:06:30.604637,2025-06-11,Banco do Brasil,Bradesco,***.498.***-00,Jampruca,PB
1da1cab6-77a9-485e-819c-927a0e2dc24f,9610c38c-d10a-43b6-bcfa-0de1c8672bf5,3086.21,Cartão,033,237,2025-06-11 22:41:11.563427,2025-06-11,Santander,Bradesco,***.490.***-60,Santa Ernestina,TO
cb2432f4-1ce1-4b08-8ac2-bf1ead355a5e,1471f32f-98a7-4cec-9dc1-dc1cfa6b3301,6058.78,TED,033,104,2025-06-11 22:39:49.880218,2025-06-11,Santander,Caixa Econômica Federal,***.648.***-60,Viçosa,MG
38d63558-e7b1-4ad1-ac83-6c43d1e44852,0008cb08-c56f-4f7a-a48a-f6e7ff05b3af,3154.81,Cartão,237,341,2025-06-11 22:28:18.908926,2025-06-11,Bradesco,Itaú Unibanco,***.671.***-80,Campanha,PA
0977e9d8-8a3a-4f5c-824f-5136fccf93f5,1fa9cf3a-0722-4415-821f-fe4b0ab450fb,3021.65,PIX,033,033,2025-06-12 19:03:11.838947,2025-06-12,Santander,Santander,***.958.***-38,Garruchos,CE
6c640d67-9cca-40b4-baa4-1d8c5a97e719,69c2e31b-a5b7-4fae-b9b6-e0e40000b7eb,1295.66,PIX,001,237,2025-06-12 15:02:10.469390,2025-06-12,Banco do Brasil,Bradesco,***.453.***-66,Campos Novos Paulista,MG
93071d3b-cc07-467a-940c-6a7adaab74d9,2bd740a1-6194-43e1-84b8-7c6671e5138b,305.73,DOC,033,237,2025-06-12 04:38:25.822235,2025-06-12,Santander,Bradesco,***.140.***-84,Vila Flores,SP
3038c764-1f07-411d-bc42-52cf81adc34e,18c01890-bdb3-4630-9257-ed40af04f94f,5560.7,TED,104,033,2025-06-12 09:27:04.913767,2025-06-12,Caixa Econômica Federal,Santander,***.157.***-77,Piraquê,SC
dce2a98d-be8c-4647-a700-b182c5e51471,9bf84d9b-ad99-4ce6-b8fa-1606683b04e8,763.36,DOC,341,033,2025-06-12 04:14:22.615523,2025-06-12,Itaú Unibanco,Santander,***.375.***-25,Jaupaci,SP
8f0a6350-2feb-43b8-ab7b-c56fd907459b,97680141-9440-4af5-b7b7-fec0b35d18e8,7025.5,Cartão,341,237,2025-06-12 05:10:50.776313,2025-06-12,Itaú Unibanco,Bradesco,***.627.***-53,Estrela do Norte,SP
e2f35570-07e3-4243-b541-8dd90f31e9ee,8698bfa3-7ee6-48c8-b8d7-f681d4780639,2100.14,TED,001,001,2025-06-12 19:26:14.291892,2025-06-12,Banco do Brasil,Banco do Brasil,***.971.***-03,Uberaba,RS
faa1afa9-1c78-428b-8dee-f31871e4d675,887c3540-ae23-4327-a0c5-e0be1ccb8e87,5485.39,Cartão,033,341,2025-06-12 20:09:12.494938,2025-06-12,Santander,Itaú Unibanco,***.640.***-96,São José do Cerrito,BA
686f3320-4aaf-43b9-8c10-cbb6bc2a78c5,bc211453-0816-4905-9dd0-93af230c0428,435.77,Cartão,001,237,2025-06-12 15:44:54.194293,2025-06-12,Banco do Brasil,Bradesco,***.314.***-84,Santa Maria do Tocantins,SP
4252be4a-e7a8-4a3e-9565-6498c8e61431,a0328ffe-4f4b-4b61-8d60-92997d5bb2f7,4233.25,PIX,341,237,2025-06-12 19:03:52.912806,2025-06-12,Itaú Unibanco,Bradesco,***.458.***-09,Penha,PI
7856ad4b-5340-4095-ad3c-a23b2d9e721c,a23ccdd1-d758-4102-ba6d-1601ea8efe65,6882.39,TED,237,001,2025-06-12 17:42:37.663688,2025-06-12,Bradesco,Banco do Brasil,***.731.***-07,Ibirapitanga,BA
4dd10beb-c538-452f-86df-5d88b457a142,8586db3e-aadb-42be-86ee-38dc826e5326,4015.71,PIX,341,033,2025-06-12 05:11:11.120207,2025-06-12,Itaú Unibanco,Santander,***.720.***-99,São Lourenço do Piauí,SP
c1b2b0e4-c5f1-4a49-a8b5-a097b8bc93a5,634b1220-7263-4b69-bff9-dcf08ef6a417,820.29,DOC,033,104,2025-06-12 23:27:16.556598,2025-06-12,Santander,Caixa Econômica Federal,***.852.***-55,Betânia do Piauí,RS
926f1a0c-2b11-44c9-9f6a-047a4ec04df0,dcc28885-0068-4f78-82a5-c377cffd6c15,7419.2,PIX,033,033,2025-06-12 12:17:19.244608,2025-06-12,Santander,Santander,***.460.***-74,Pedreira,SP
31fa5e25-f202-46ef-a1dd-60871cd700d1,2f676250-fd6e-4c09-ab88-d0be72fa9d78,7050.48,DOC,237,104,2025-06-12 06:27:36.015779,2025-06-12,Bradesco,Caixa Econômica Federal,***.961.***-82,Divino de São Lourenço,SC
f17cf2bf-c669-4579-97b7-cd180445aaad,cba4401d-7597-4c3d-9b44-aaf283591155,837.94,DOC,237,104,2025-06-12 23:58:17.963933,2025-06-12,Bradesco,Caixa Econômica Federal,***.861.***-19,Aporé,SP
d852df56-6e15-4b35-ae1b-a85caff95c89,dee780c9-6db9-4daf-8637-fc68774f9ac6,4104.91,DOC,033,001,2025-06-12 12:54:02.723132,2025-06-12,Santander,Banco do Brasil,***.074.***-83,Palmeiras,BA
e3a5644c-8c88-4e26-8033-e98f1083608c,4e6561c9-245e-4b19-b60a-fd79ec2d424a,7882.9,DOC,237,104,2025-06-12 17:57:13.153464,2025-06-12,Bradesco,Caixa Econômica Federal,***.407.***-26,Canguaretama,SC
e7781902-b9b7-49af-80d8-9bfe24e94dee,19ad9bbd-14e0-4ea3-a390-b9047c1b08d1,4197.61,Cartão,104,001,2025-06-12 15:55:37.303811,2025-06-12,Caixa Econômica Federal,Banco do Brasil,***.647.***-40,Marajá do Sena,MG
71b98067-f6f1-46fc-9ca4-356507206137,15060836-728a-477d-aba1-bb538ca95266,2452.7,PIX,104,341,2025-06-12 03:51:04.984356,2025-06-12,Caixa Econômica Federal,Itaú Unibanco,***.294.***-00,Pitangueiras,SC
a8bd439d-441a-48ba-b8c6-f09d616556b8,ed826e5e-a2fe-4443-b87d-40ed6c11e0ce,4472.3,PIX,237,033,2025-06-12 15:05:43.486197,2025-06-12,Bradesco,Santander,***.269.***-98,Monteirópolis,MG
2d96e01f-5bf7-4ee4-84e1-62b8f15a3e4b,464cff62-f657-4330-9786-ac8550c78dde,7121.53,TED,001,104,2025-06-12 08:21:48.791835,2025-06-12,Banco do Brasil,Caixa Econômica Federal,***.654.***-10,Água Preta,AM
e312937d-ddc5-4c70-ad5c-97b326ace089,957dd986-9386-4e23-8d5b-ee9ef4aa0b4e,5570.02,Cartão,104,001,2025-06-12 19:20:45.258603,2025-06-12,Caixa Econômica Federal,Banco do Brasil,***.026.***-02,Mansidão,MG
07670142-f106-4620-886e-d72a8c9073a7,bd082f7a-c288-48eb-8da6-6c324e81da4c,5911.82,TED,001,033,2025-06-12 20:05:20.951814,2025-06-12,Banco do Brasil,Santander,***.470.***-44,Anhumas,TO
3375ae6d-deb6-4194-a255-4b699a164925,f4bf54b0-471c-4218-ab11-8cdbdc01701a,1382.39,Cartão,001,237,2025-06-12 19:03:47.916528,2025-06-12,Banco do Brasil,Bradesco,***.478.***-00,Campo do Tenente,PI
dc1c915b-0ab9-41df-ac3a-607280624a4b,c0e1c158-f4d2-479d-907d-6c3fcd25e4fa,2759.19,Cartão,237,104,2025-06-12 19:36:34.886747,2025-06-12,Bradesco,Caixa Econômica Federal,***.706.***-10,Marcelino Ramos,RS
590bc215-7297-400d-891a-f2a04d339c59,d3541ce8-91c2-47be-86dc-57480f16f108,7391.52,TED,237,341,2025-06-12 02:11:34.143712,2025-06-12,Bradesco,Itaú Unibanco,***.690.***-98,Marília,RN
4f69cc34-676c-4f8f-ab18-f3aee4b2a732,29c0c36f-a1a6-45c0-b4cf-2045c2c0755e,2943.9,Cartão,001,104,2025-06-12 18:35:21.510230,2025-06-12,Banco do Brasil,Caixa Econômica Federal,***.423.***-32,Inocência,PB
0eada079-a2b6-4309-9eab-a9b15fd2cf63,d33e50b8-07cc-4fe5-bd99-ef463dcd12bb,6478.11,PIX,001,237,2025-06-12 09:27:23.486565,2025-06-12,Banco do Brasil,Bradesco,***.013.***-42,Cristalândia,MG
b9017336-7d1e-46b9-96d8-0002fb93aa88,186b6158-085c-472e-968c-233db3e4b1f4,7793.79,TED,237,341,2025-06-12 00:21:37.851520,2025-06-12,Bradesco,Itaú Unibanco,***.641.***-87,São Francisco do Sul,MG
e6415a03-a043-4fc1-8b8f-af92b01bbf7e,3bf36084-1dd2-4791-88ee-64ebc75777d0,4537.1,PIX,341,341,2025-06-12 00:23:26.831795,2025-06-12,Itaú Unibanco,Itaú Unibanco,***.672.***-61,São Sebastião,PI
3f706e14-17e6-43f7-85ca-fb89570d52af,3f032d66-a6e6-4cae-a583-a881b85696a5,5631.34,DOC,237,341,2025-06-12 23:34:34.501247,2025-06-12,Bradesco,Itaú Unibanco,***.214.***-26,Garruchos,PE
4e486d06-7631-4218-93cb-96c33c83ff92,1f94b987-7e2a-49db-ba15-2197f1316698,7648.75,Cartão,237,237,2025-06-12 18:15:56.199274,2025-06-12,Bradesco,Bradesco,***.761.***-07,Manaíra,TO
332f75ce-6415-43aa-aca2-8d0e845dfc95,d45c1286-1d74-4479-a695-da36293bff64,4025.86,Cartão,104,033,2025-06-12 21:05:39.622982,2025-06-12,Caixa Econômica Federal,Santander,***.540.***-00,Juazeirinho,SP
8108885d-b1a7-4fa5-881a-90110a8294f9,5fed4481-6d25-47f8-8276-9f2ea53709b9,4518.81,Cartão,104,237,2025-06-12 16:45:52.463621,2025-06-12,Caixa Econômica Federal,Bradesco,***.780.***-84,Bom Jesus do Oeste,GO
24619ddb-72b8-4668-8f0e-f5e43c764458,8f3c9c18-f3f3-4dfd-841c-674d60f8c7bd,7839.48,Cartão,341,104,2025-06-12 19:39:30.474051,2025-06-12,Itaú Unibanco,Caixa Econômica Federal,***.013.***-41,Afonso Bezerra,BA
df10a5d3-95c5-4fb7-a96c-3ea617a26ccd,f0dd8640-ffa8-4ab6-bec7-71c9aa4d4205,656.42,PIX,237,104,2025-06-12 19:21:00.484999,2025-06-12,Bradesco,Caixa Econômica Federal,***.473.***-40,Porto Alegre do Piauí,PE
